1;A;111
2;B;93
3;B;108
4;c;107
5;c;111
6;d;99
7;d;95
8;r;103
9;r;90
10;s;109
11;s;123
12;i;94
13;i;96
14;q;89
15;q;104
16;w;92
17;w;109
18;n;107
19;n;110
20;Phong;115
21;Phong;103
